,hour_since_last_click,relative_valuation
0,12,-0.5571380880873714
1,24,-0.5505496843980392
2,36,-0.5216662433452585
3,48,-0.5462805933512985
4,60,-0.527178371187066
5,72,-0.5147998221448483
6,84,-0.5135123623551282
7,96,-0.5124079498944271
8,108,-0.4885994379088771
9,120,-0.47904331356276864
10,132,-0.45640195007872664
11,144,-0.4371678010486001
12,156,-0.4166863708635429
13,168,-0.3934961122421236
14,180,-0.3772764064208593
15,192,-0.3484951283099183
16,204,-0.30384437216360277
17,216,-0.2862418587027438
18,228,-0.26703453025560137
19,240,-0.27237270609920444
20,252,-0.27588368206981345
21,264,-0.2577080442890182
22,276,-0.23327653241951884
23,288,-0.21826082618201012
24,300,-0.1773008158526313
25,312,-0.1580126346515531
26,324,-0.17500340922164492
27,336,-0.14390177588663436
28,348,-0.13583684471607346
29,360,-0.11408764519327205
30,372,-0.11363249782043448
31,384,-0.0656887571095893
32,396,-0.06089205214565479
33,408,-0.03550653432467367
34,420,-0.039297635508240905
35,432,0.0309294651221103
36,444,0.04980068953448709
37,456,0.06526249411714016
38,468,0.08617989696666462
39,480,0.08823903972677315
40,492,0.0886470428281857
41,504,0.12009849434358948
42,516,0.12698939085223054
43,528,0.1511125555497571
44,540,0.15825619661205115
45,552,0.1920850989861068
46,564,0.20346918625551477
47,576,0.24072978168315085
48,588,0.23112156018659705
49,600,0.26211010179539707
50,612,0.2669287170045141
51,624,0.3149814182293639
52,636,0.3388619661718697
53,648,0.3543131611163726
54,660,0.36080043466274286
55,672,0.38343138324628306
56,684,0.38719615878909547
57,696,0.4021327232228625
58,708,0.4129959076277738
59,720,0.6259112769311834
